state,total_cases,number_injured,number_killed,total_casualty,people_involved,spv,upd,tbt,mdv,bfl,ovl,dot,wot
Ebonyi,48,97,43,140,12,0,1,0,0,0,0,4,0
Edo,71,222,50,272,40,0,2,2,11,0,0,1,0
Ekiti,28,51,9,60,28,0,1,0,1,0,0,1,0
Enugu,44,129,40,169,18,0,1,0,14,0,0,1,1
FCT,320,653,65,718,278,0,17,12,9,0,4,8,16
Gombe,60,220,30,250,17,0,8,5,2,0,0,3,3
Imo,20,37,8,45,9,0,4,0,4,0,0,1,2
Jigawa,107,291,53,344,89,0,8,0,0,5,0,2,1
Kaduna,190,755,119,874,71,0,7,1,0,1,2,7,8
Kano,87,272,46,318,25,0,1,1,0,1,0,5,7
Katsina,37,131,34,165,17,0,3,1,0,0,0,3,0
Kebbi,37,89,24,113,10,0,0,0,0,0,0,0,0
Kogi,107,360,57,417,21,2,13,2,9,0,0,5,1
Kwara,77,288,37,325,30,0,5,4,2,0,0,19,7
